,RC1,RC2,RC3,RC4
0,-0.2474,0.3044,-1.7888,-0.1167
1,-0.2273,-1.0535,-0.4803,-2.4583
2,-0.2739,1.0257,-0.1074,0.5823
4,-1.1467,2.3281,0.5488,-0.2556
5,-0.3257,-0.9826,-0.4343,0.8890
6,2.8010,0.7492,0.7087,-0.0782
7,-2.1818,-2.9266,1.6029,-2.4960
8,1.2896,-0.5264,-1.6503,2.5726
9,-3.3451,-3.2510,0.8483,-3.7598
10,1.0340,-0.2575,0.2032,-0.3862
11,2.4933,1.1400,-0.0677,-0.7828
13,0.9884,-0.2160,-1.9001,0.2539
14,-0.5307,0.9306,-1.0497,0.4000
15,-2.5558,-0.6364,-0.4179,-0.1112
18,1.0935,1.3895,0.5372,0.2726
19,-0.1402,1.3272,-1.5484,-2.5564
22,0.6634,2.0193,-0.7987,0.0389
23,1.2310,1.9846,1.0809,-0.4639
24,-0.7195,-1.0068,-1.3705,-0.3156
25,2.3741,-1.9655,0.5476,0.8689
37,1.6615,1.4123,-1.0268,-0.8449
38,0.3361,0.6001,0.3063,2.0476
39,-2.1412,-0.6877,2.3076,1.1383
40,0.2538,-1.4211,-1.0517,-1.3502
41,-0.9854,-1.2467,0.0742,0.9940
45,-2.0645,-3.0437,0.9724,-0.1106
47,-1.5992,-1.8078,-0.7955,0.6800
51,-0.2119,-0.7792,-0.9883,1.9637
52,0.4439,0.9320,-1.5984,-0.7854
53,0.0675,-0.8539,1.0390,-0.0261
54,0.3692,1.6430,1.0957,0.9679
57,-1.0119,1.6783,-0.2592,0.6508
58,-2.7740,0.5702,1.4752,-0.8745
59,-1.3673,-1.7887,0.6912,-0.1285
60,-1.5030,-0.2855,0.4099,-0.1570
61,0.9678,0.2671,-1.3404,0.0339
62,0.8340,0.2316,-0.0582,0.7606
63,-0.5259,-1.4081,0.2951,0.6808
64,-0.5206,-0.0927,-0.1352,-1.4188
66,0.4242,-2.1994,-1.2663,1.1792
69,-1.2964,-1.2154,-0.6410,1.3098
71,3.8227,-1.8191,2.2797,-2.1043
72,-0.5349,-0.1009,-2.1639,1.7715
73,0.2347,-0.5574,-1.5082,2.0611
74,-0.8357,0.2348,-1.4442,-2.7914
75,0.9588,-0.6793,-0.2399,2.4393
76,1.5390,-3.9986,1.6858,2.6882
77,1.3564,0.7327,-0.1539,0.4449
78,-0.6511,-1.1266,-0.5214,1.8342
79,0.9939,-2.0707,1.8023,-1.0168
80,-0.6282,0.0738,0.4232,1.7022
81,0.4024,0.6905,-2.2728,1.4731
82,-0.8835,1.5398,-0.7141,-0.8531
83,0.1846,0.2431,1.9101,0.5188
84,-0.3987,1.3880,0.9328,-1.4035
85,-0.6322,1.1999,0.9343,1.3838
86,-1.2493,1.6887,0.3400,-1.8459
87,-2.5861,0.7786,0.5351,0.3168
88,-0.5600,-0.8316,2.0012,-1.4197
89,-2.0474,-0.5325,1.0132,-0.9653
92,0.7784,1.4651,0.2061,1.1368
93,-0.4848,-1.0786,-1.1570,0.9953
94,-1.3481,0.3523,2.1341,-1.6652
95,2.2514,1.4811,-2.2629,-1.9159
96,1.2834,0.2402,-1.0499,2.0820
97,-0.3487,-1.5101,0.6192,-0.3471
98,-0.0604,1.4258,-0.1728,0.9750
99,-2.4897,0.9190,-2.3534,-1.6488
100,-1.7367,0.5061,0.0490,0.1882
101,-1.3013,0.9937,-1.2556,0.2061
102,0.2503,1.9103,0.1200,0.0526
103,-0.3178,0.2516,1.7786,-0.4014
104,1.4209,0.2637,-0.8482,1.6821
105,2.0886,0.0802,-1.0035,-0.7349
106,-3.6898,-0.2948,-0.6140,-0.2687
107,1.6602,1.6301,0.3846,0.8309
108,0.7788,0.9402,0.7790,0.9059
109,-0.7300,1.6273,0.3622,0.0318
110,-0.2141,-0.1818,-1.1282,0.3818
111,1.3349,2.3938,-1.2590,-0.9081
112,2.6799,-0.3563,-1.0100,0.8767
113,-3.4673,-0.5133,0.7157,0.9205
116,-2.8173,-0.5798,1.3988,1.7211
117,0.3467,-1.1227,0.9677,1.4588
118,0.8258,1.0209,-1.2538,-0.2499
120,-2.5477,-0.5419,2.0436,-1.2375
121,-0.2269,-1.1938,-1.2859,0.3360
122,0.1513,0.9405,-0.8861,-0.6388
124,0.9404,1.0322,-0.4953,-0.1746
125,-1.1490,-0.0356,1.1862,-1.3169
126,-4.5433,-2.5819,2.3874,-1.6067
127,-3.0134,-1.2638,2.1968,-0.9991
128,-0.1926,2.2650,0.6761,-0.7020
129,-2.5618,-1.4811,1.4062,-0.0554
130,0.0252,-2.6456,0.2408,0.7619
133,3.6764,-0.1876,1.8487,-0.4872
134,0.4417,-3.4240,1.7086,-0.9528
135,1.0550,0.3494,0.5506,0.2541
136,1.3119,0.8181,-0.6705,0.5926
137,-0.3710,-0.0607,-0.0005,0.1947
138,0.1181,-1.8288,0.1381,1.8284
139,3.1127,0.0770,0.3217,-0.5440
140,-1.4374,-2.5373,0.8087,1.1512
142,1.5298,-0.2491,0.2707,1.1977
143,1.4294,1.4826,-0.5273,-3.3097
144,2.4868,-0.3186,-0.4684,0.1190
146,-3.2119,-0.0316,-2.5131,-0.3156
147,-4.7780,-4.9667,-0.1980,1.6963
148,3.4591,0.0725,-1.0835,-0.4208
149,1.0485,0.3686,1.5637,1.8890
152,-0.2810,0.3737,1.7950,0.9001
153,-1.2024,-2.0958,0.6545,-0.9479
154,-1.5091,-0.2783,1.8459,0.1807
155,-1.1478,-0.2412,-1.3016,-0.2811
156,3.2164,-1.5526,0.3007,1.5263
157,0.0514,0.1998,0.0536,0.0865
160,0.2849,2.1423,1.0170,-0.0277
161,0.3776,-1.2409,-1.8176,0.3855
162,-4.4344,-4.0762,2.8391,2.5236
166,1.9593,0.8785,-0.5195,0.6203
167,-2.5243,-0.0647,2.0861,0.4575
168,0.3361,1.8690,0.8692,-0.9310
170,3.8479,1.1083,1.9280,1.6162
171,2.0363,0.1626,1.8257,-0.7796
174,0.1191,0.2340,0.2742,-0.8650
175,1.8227,-0.9295,-1.2575,1.2244
177,0.8482,0.1331,-0.6114,1.6462
178,0.9706,0.4081,-0.7633,-0.0091
179,-1.1274,0.7416,0.0153,-2.0196
181,-0.3841,-1.9863,1.7252,1.6748
182,1.5198,1.5613,0.7261,-0.8300
183,0.4134,0.1114,-0.5276,-0.6774
186,-0.7436,1.7827,-3.0701,-0.2912
187,-0.9931,-2.3598,1.4860,-0.2054
188,-0.2952,1.1318,1.4038,-1.1686
190,0.5469,1.4676,0.0135,-2.4361
191,0.8443,-0.6963,-1.4971,-0.3459
192,0.0034,1.3990,-1.3127,0.3119
193,0.0848,1.5616,-0.4327,-1.1537
194,-0.4172,0.0090,0.0377,0.3702
195,2.3136,1.3881,-1.5640,-1.8711
199,-0.2604,0.0070,0.2222,2.2135
201,-2.4726,-1.2377,0.9826,-1.4695
203,1.8617,1.3017,0.0693,0.0815
205,1.5945,-1.3446,1.2778,0.2438
206,0.3112,-1.9618,0.1380,-1.2273
217,2.4937,2.3420,-1.6245,-0.8762
218,-0.1282,0.2470,-0.2202,0.5882
220,2.5786,1.5775,0.6782,-0.1563
221,-1.9533,-0.9356,0.5174,-0.2962
224,-2.3552,0.9007,-2.5492,-1.4119
225,1.5207,0.1360,-0.1615,-0.8895
226,0.9047,0.6968,-0.3964,-0.8558
227,-1.1163,0.3178,1.8371,0.6406
229,0.6060,-2.8370,-0.1041,-0.4235
230,2.0981,-0.2543,-1.5543,3.4963
236,0.8613,-0.0801,-0.3543,0.9622
237,0.4925,-0.6616,0.4388,1.2584
238,1.7438,1.3090,0.5315,0.1196
239,-0.4244,-0.8989,1.2117,-0.4536
240,0.0266,1.1222,1.3530,0.0741
242,0.3423,-0.7701,0.5063,2.2795
243,0.0241,0.2527,0.0420,1.8163
244,1.9617,-0.8047,1.1539,-0.0443
245,2.3783,0.5876,0.5111,-0.1957
246,0.7695,2.0073,0.6002,2.6072
247,0.1124,0.2682,0.4787,0.1671
248,-3.7395,-1.2521,0.4148,-2.1842
249,-2.4984,0.8831,1.1023,-0.0598
251,-0.8237,0.1365,1.6278,-1.0840
253,-0.1170,-0.6139,-2.4478,0.4143
254,-0.9639,-0.8187,0.5242,0.2433
255,2.0690,-0.0026,0.9132,-0.7272
256,1.8695,1.7980,0.1842,-0.8759
257,0.7981,1.1856,0.2170,0.7258
258,-1.6256,0.9764,-0.3566,-1.2381
259,2.1522,1.3299,-1.6634,0.2581
261,-0.3327,-0.2742,0.7625,1.1118
262,0.0851,2.6744,-4.4313,-1.5378
263,-0.7398,2.6663,-3.9475,-1.4722
264,-0.0088,2.9897,-2.4854,-1.1161
265,-2.8080,-2.0519,1.5796,-0.6245
266,1.2248,1.3343,-0.3238,0.2117
267,0.3475,0.1322,-4.3237,-2.0366
268,-0.5589,-0.4460,-1.0293,-1.0016
269,2.4892,1.7841,-0.1457,-1.4232
270,-0.8903,-0.5157,-0.1515,-1.1234
